"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"105","Bristol Myers Squibb Co.","Northern Europe",2,"Marketing","male","api",0.825862,0.001082,0.00079799999999999,40833.4280598553,"2020"
"106","Apple","Western Europe",5,"Marketing","male","white",26.483368,1.179083,0.014222,3734201.3737319,"2020"
"107","The Home Depot","Western Europe",4,"Marketing","female","native",0.002,0,0,203.065734460045,"2020"
"108","The Goldman Sachs Group","Pacific Islands",6,"Engineer","male","api",0,0,0,NA,"2020"
"109","Bristol Myers Squibb Co.","Pacific Islands",4,"Sales","female","hispanic",0.11965,9.5e-05,7.4e-05,15052.1518575149,"2020"
"110","The Home Depot","Pacific Islands",3,"Admin","male","multiple",0.061936,0,0,4304.09561191947,"2020"
"111","Accenture Plc","Southern Europe",4,"Finance","male","multiple",1.429303,0.033695,0.000715,86118.4094655263,"2020"
"112","The Home Depot","Central America and the Caribbean",2,"Operations","female","multiple",0.366558,0.00015699999999999,0.000222,21349.8141045115,"2020"
"113","The Goldman Sachs Group","Northern Europe",6,"Admin","male","api",0.242072,0.000219,7.7e-05,29711.2674874897,"2020"
"114","Accenture Plc","Northern Africa",1,"Marketing","female","white",9.756787,0.001708,0.00216199999999999,112490.443903931,"2020"
"115","Accenture Plc","Southern Europe",5,"empty","male","black",0.23012,0,0.008012,18520.5496188366,"2020"
"116","Bristol Myers Squibb Co.","Southern America",5,"Engineer","male","multiple",0,0,0,0,"2020"
"117","The Goldman Sachs Group","Southern Europe",2,"Operations","female","api",0.024171,0,0,1104.37805103741,"2020"
"118","Apple","Northern Europe",1,"empty","male","white",14.426299,0.011783,2.846724,554055.544933494,"2020"
"119","Apple","Pacific Islands",6,"Finance","female","black",0,0,0,NA,"2020"
"120","The Goldman Sachs Group","South-Eastern Asia",5,"Sales","female","black",0.109825,3.1e-05,1.4e-05,5476.56275489737,"2020"
"121","Apple","Central America and the Caribbean",1,"Admin","male","hispanic",200.210873,0.024026,0.037869,2701763.00846001,"2020"
"122","Accenture Plc","Northern Africa",2,"Marketing","male","white",8.042135,0.002246,0.002578,145683.041012356,"2020"
"123","Apple","Central and Western Asia",5,"Sales","female","black",0.790125,0.00022,0.00019699999999999,56440.1233464502,"2020"
"124","Accenture Plc","Sub-Saharan Africa",3,"Finance","female","hispanic",2.397109,0.001536,0.079695,72743.1104869135,"2020"
"125","Bristol Myers Squibb Co.","Southern Asia",2,"Admin","male","white",1.728829,0.000805,0.00088199999999999,16125.3621820419,"2020"
"126","Accenture Plc","Southern Europe",2,"empty","female","multiple",0.241849,0.009464,0,10789.822157879,"2020"
"127","The Goldman Sachs Group","Eastern Asia",2,"Admin","female","api",71.198781,2.873937,0.702357,3537452.38862019,"2020"
"128","The Home Depot","Northern America",4,"Engineer","female","multiple",5.911734,0.012421,0.100736,667302.918562617,"2020"
"129","Accenture Plc",NA,6,"Marketing","male","multiple",0.182151,0.000219,0.000238,18946.0113397792,"2020"
"130","Accenture Plc","Southern Asia",5,"Finance","female","multiple",1.307513,0.00052099999999999,0.053218,24117.6538035192,"2020"
"131","The Home Depot","Eastern Asia",4,"Engineer","male","white",1.453968,0.001046,0.00032699999999999,46156.7566314439,"2020"
"132","The Goldman Sachs Group","Western Europe",6,"Operations","male","hispanic",0.039353,3.1e-05,1.4e-05,6334.64032010864,"2020"
"133","The Home Depot","Sub-Saharan Africa",5,"Operations","female","api",0.051173,0,0,814.344972028867,"2020"
"134","Apple",NA,4,"Marketing","male","black",5.827028,0.003383,0.00177,478952.532807224,"2020"
"135","Apple","Northern Europe",4,"empty","female","hispanic",0.00691799999999999,0,0,913.637687536775,"2020"
"136","Databricks","Pacific Islands",1,"Operations","male","api",0,0,0,NA,"2020"
"137","Bristol Myers Squibb Co.","Eastern Asia",5,"Operations","male","black",0.33745,0.00030499999999999,0.000369,29048.7917165203,"2020"
"138","The Goldman Sachs Group","South-Eastern Asia",3,"Operations","female","white",1.426527,0.000491,0.00038499999999999,32179.6411555962,"2020"
"139","Bristol Myers Squibb Co.","Southern Asia",2,"Marketing","female","native",0.004903,0,0,52.2843108633923,"2020"
"140","Databricks","Northern Africa",2,"Engineer","male","white",1.470485,0.00090499999999999,0.000311,14412.2986056484,"2020"
"141","Bristol Myers Squibb Co.","Central America and the Caribbean",3,"Admin","male","hispanic",0.55401,0.000299,0.000476,23146.1752614924,"2020"
"142","Apple","Central America and the Caribbean",4,"Finance","female","api",0.072698,0,0,1327.91159660241,"2020"
"143","Apple","Pacific Islands",5,"Engineer","male","black",1.921506,0.00021499999999999,0.000315,226940.958985122,"2020"
"144","Apple","Antarctic",2,"Admin","female","native",0,0,0,NA,"2020"
"145","Bristol Myers Squibb Co.","Northern Africa",4,"Admin","female","api",0,0,0,NA,"2020"
"146","Bristol Myers Squibb Co.","Arab States",5,"Scientist","female","black",0.00538399999999999,0,0,504.200105819069,"2020"
"147","Accenture Plc","Northern Africa",6,"Sales","female","multiple",0.035246,0,0,9129.38997274966,"2020"
"148","Accenture Plc","Eastern Asia",5,"Engineer","female","multiple",5.449366,0.00299799999999999,0.001827,403926.4813128,"2020"
"149","Bristol Myers Squibb Co.","South-Eastern Asia",5,"Scientist","female","hispanic",0.067756,2.9e-05,1.9e-05,3123.28514852223,"2020"
"150","Accenture Plc","Pacific Islands",6,"Engineer","male","black",2.500794,0.000778,0.000943,306767.786148786,"2020"
"151","The Goldman Sachs Group","Eastern Asia",5,"empty","male","white",0.004009,0,0,433.793335035715,"2020"
"152","Bristol Myers Squibb Co.","Central and Western Asia",4,"Admin","female","black",0,0,0,NA,"2020"
"153","Bristol Myers Squibb Co.","Northern Africa",2,"Finance","male","api",3e-06,0,0,NA,"2020"
"154","Apple","Pacific Islands",4,"Engineer","female","native",0.097469,4.8e-05,0,8478.01334078143,"2020"
"155","Databricks","Northern America",6,"Scientist","male","native",0,0,0,NA,"2020"
"156","The Goldman Sachs Group","Northern America",3,"Scientist","male","white",7.95628,0.00952,0.00568499999999999,940898.953092674,"2020"
"157","The Home Depot","Northern Africa",3,"Finance","male","api",0.004,0,0,33.7301086198393,"2020"
"158","The Home Depot","Northern Africa",4,"Engineer","male","white",2.192005,0.000741,0.00030699999999999,37676.5003523663,"2020"
"159","Accenture Plc","Central America and the Caribbean",4,"Engineer","male","multiple",2.153206,0.090897,0.088639,58506.6404230458,"2020"
"160","Databricks","Pacific Islands",1,"Operations","male","white",1.433761,0.00038,0.00018699999999999,72599.7023885955,"2020"
"161","The Goldman Sachs Group","Eastern Asia",1,"Admin","male","hispanic",2.177588,0.000344,0.00030499999999999,36468.7676463941,"2020"
"162","The Home Depot","Southern Europe",5,"empty","female","black",0,0,0,NA,"2020"
"163","Apple","Central and Western Asia",2,"Finance","female","native",0.971725,0.000181,0.000212,27089.9229702634,"2020"
"164","The Home Depot","Central and Western Asia",3,"Operations","male","multiple",0.044543,0.00699699999999999,0,3063.7021373726,"2020"
"165","The Goldman Sachs Group",NA,1,"Scientist","female","api",2.649038,0.013308,0.008026,72754.3530213279,"2020"
"166","Apple",NA,2,"Admin","male","api",137.12882,5.997518,2.70878,4973403.10355398,"2020"
"167","Accenture Plc","Northern America",4,"Engineer","female","hispanic",347.775165,17.577322,7.371815,39027074.2810746,"2020"
"168","Bristol Myers Squibb Co.","Pacific Islands",2,"Sales","male","white",18.285791,0.683452,0.010481,1548237.96950597,"2020"
"169","The Home Depot","Northern Africa",2,"Finance","male","black",0.114145,5.2e-05,4.4e-05,876.436551043153,"2020"
